time,tp,olr,str,u10,v10,d2m,t2m,msl,sst,z,tcwv,v100,u100,Wind_Speed_10m,Wind_Speed_100m
2012-07-05 06:00:00,0.00023126602,627736.0,-131988.0,-1.7304382,1.6296539,16.21457,18.790558,1009.6694,,-1.4674817,34.31633,3.2387238,-2.5862885,2.3770125,4.1446614
2012-07-07 06:00:00,0.0,939292.0,-281129.12,0.04736328,3.8546143,14.291931,16.851196,1011.0019,,-1.4674817,22.474161,5.2135315,0.3659668,3.8549051,5.2263603
2012-07-09 06:00:00,0.000111579895,926629.0,-179358.31,6.2347107,3.7286377,14.38028,16.058258,1008.6675,,-1.4674817,26.391573,5.3561707,8.874283,7.264596,10.365397
2012-07-11 06:00:00,0.0013194084,800529.0,-87634.0,5.633621,3.5594025,12.318085,14.301727,1008.72,,-1.4674817,22.855597,5.168518,8.120987,6.6638603,9.626215
2012-07-13 06:00:00,0.001803875,610311.0,-69812.0,1.4266815,5.3712006,13.131409,14.0512085,1004.4963,,-1.4674817,28.682024,7.717041,2.759964,5.557447,8.195738
2012-07-15 06:00:00,0.0,893286.0,-212603.25,1.9683228,-1.2589111,11.057312,14.22818,1010.84125,,-1.4674817,20.20568,-1.7492371,2.377243,2.3364828,2.95146
2012-07-17 06:00:00,7.867813e-05,899637.0,-51784.0,3.9585876,-1.4398193,14.507233,16.121216,1018.4263,,-1.4674817,25.08071,-2.28714,5.455841,4.212303,5.915844
2012-07-19 06:00:00,0.0006837845,773648.0,-120885.0,7.181198,1.2108002,13.176239,15.314514,1004.3756,,-1.4674817,21.767073,1.4423828,10.241089,7.2825575,10.342164
2012-07-21 06:00:00,7.05719e-05,774682.0,-186738.0,1.0765991,-2.9927368,10.551971,13.261993,1021.29065,,-1.4674817,18.457308,-4.029129,1.3312988,3.1804936,4.243376
2012-07-23 06:00:00,0.0,961733.0,-261310.0,0.39868164,4.2827606,12.146851,16.16333,1025.9275,,-1.4674817,25.703825,6.7668915,1.5986023,4.301277,6.953154
2012-07-25 06:00:00,0.0,1000136.0,-267607.25,0.096832275,-1.2787476,16.852264,18.594086,1015.14874,,-1.4674817,18.616123,-1.7825928,-0.14361572,1.2824086,1.7883687
2012-07-27 06:00:00,0.0,997791.0,-223333.88,-3.2292023,-0.15586853,15.0269165,17.591034,1013.005,,-1.4674817,26.056662,0.46697998,-5.035858,3.232962,5.0574636
2012-07-29 06:00:00,5.2452087e-06,944137.0,-282237.94,3.3514252,1.1579437,12.925812,15.32724,1009.5538,,-1.4674817,18.560127,1.4210663,4.6580963,3.5458264,4.87004
2012-07-31 06:00:00,2.670288e-05,674667.0,-158649.25,1.6551971,2.8414612,11.021027,14.184418,1016.46185,,-1.4674817,21.070831,3.9956665,2.9457092,3.2884007,4.964127
2012-08-01 06:00:00,0.0,846092.0,-253137.0,-1.2486572,3.0454712,14.656708,16.24936,1014.735,,-1.4674817,23.853283,5.1957703,-1.2875214,3.2915103,5.3529186
2012-08-03 06:00:00,0.00037002563,866899.0,-167190.0,3.1920624,3.733139,14.767426,16.11795,1013.9944,,-1.4674817,26.641891,5.370941,4.9731903,4.911781,7.319811
2012-08-05 06:00:00,0.0005054474,690428.0,-141240.5,0.3635254,1.5115051,14.952484,16.011993,1009.3619,,-1.4674817,27.559381,2.4860382,0.8419037,1.5546055,2.6247263
2012-08-07 06:00:00,0.00019836426,903543.0,-130886.5,3.8636475,2.1193542,14.231354,15.4479065,1015.86,,-1.4674817,24.177431,2.882248,5.904312,4.406749,6.5702553
2012-08-09 06:00:00,1.9073486e-06,941571.0,-142685.75,1.0340881,-2.5615845,14.69754,15.610138,1025.1156,,-1.4674817,21.775095,-3.8592987,1.2663574,2.7624362,4.061754
2012-08-11 06:00:00,9.536743e-07,969268.0,-186989.38,-1.5098877,0.08018494,13.521271,14.137665,1024.7887,,-1.4674817,21.32098,0.07751465,-2.6079254,1.5120153,2.6090772
